group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,epsilon,1,3,5,7,10,15,20,30,50
3,S17-S24 (3s paradigm),15,0,0.2,subject,17,0.13125,160,21,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,subject,18,0.9125,160,146,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,subject,19,0.70625,160,113,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,subject,20,0.175,160,28,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,subject,21,0.34375,160,55,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,subject,22,0.4625,160,74,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,subject,23,0.78125,160,125,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,subject,24,0.43125,160,69,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),15,0,0.2,summary,ALL,,8,,49.3,26.5,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,17,0.15,160,24,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,18,0.925,160,148,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,19,0.7125,160,114,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,20,0.2125,160,34,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,21,0.29375,160,47,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,22,0.45625,160,73,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,23,0.79375,160,127,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,subject,24,0.45625,160,73,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),20,0,0.2,summary,ALL,,8,,50,26.5,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,17,0.10625,160,17,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,18,0.9,160,144,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,19,0.66875,160,107,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,20,0.14375,160,23,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,21,0.2875,160,46,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,22,0.48125,160,77,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,23,0.79375,160,127,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,subject,24,0.4125,160,66,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),30,0,0.2,summary,ALL,,8,,47.4,27.5,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,17,0.1125,160,18,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,18,0.7,160,112,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,19,0.51875,160,83,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,20,0.14375,160,23,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,21,0.2,160,32,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,22,0.29375,160,47,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,23,0.61875,160,99,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,subject,24,0.31875,160,51,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),50,0,0.2,summary,ALL,,8,,36.3,20.8,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,25,0.2,160,32,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,26,0.275,160,44,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,27,0.21875,160,35,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,28,0.375,160,60,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,29,0.21875,160,35,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,30,0.28125,160,45,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,31,0.16875,160,27,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,subject,32,0.05625,160,9,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),1,0,0.2,summary,ALL,,8,,22.4,8.7,,,,,,,,,,,
4,S25-S32 (3s paradigm),3,0,0.2,subject,25,0.21875,160,35,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),3,0,0.2,subject,26,0.3,160,48,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),3,0,0.2,subject,27,0.23125,160,37,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),3,0,0.2,subject,28,0.49375,160,79,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),3,0,0.2,subject,29,0.325,160,52,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),3,0,0.2,subject,30,0.3875,160,62,,,,,,,,,,,,,
4,S25-S32 (3s paradigm),3,0,0.2,subject,31,0.2125,160,34,,,,,,,,,,,,,
