group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0.0 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 
2,S9-S16 (2s paradigm),7,1,0.9,summary,ALL,,8,,44.8,17.6,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,9,0.45625,160,73,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,10,0.5625,160,90,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,11,0.1375,160,22,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,12,0.63125,160,101,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,13,0.5125,160,82,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,14,0.38125,160,61,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,15,0.325,160,52,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,subject,16,0.625,160,100,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,1,summary,ALL,,8,,45.4,15.7,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,17,0.15,160,24,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,18,0.90625,160,145,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,19,0.75,160,120,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,20,0.18125,160,29,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,21,0.34375,160,55,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,22,0.5125,160,82,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,23,0.80625,160,129,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,subject,24,0.49375,160,79,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,1,0,summary,ALL,,8,,51.8,26.6,,,,,,,,,,,,,
