group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
1,S1-S8 (2s paradigm),7,0,0.9,subject,6,0.4,160,64,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,subject,7,0.125,160,20,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,subject,8,0.45625,160,73,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.9,summary,ALL,,8,,42.3,18.1,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,1,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,2,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,3,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,4,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,5,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,6,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,7,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,subject,8,0.025,160,4,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,1,summary,ALL,,8,,2.5,0,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,9,0.49375,160,79,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,10,0.60625,160,97,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,11,0.1125,160,18,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,12,0.6875,160,110,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,13,0.60625,160,97,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,14,0.4,160,64,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,15,0.33125,160,53,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,subject,16,0.73125,160,117,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0,summary,ALL,,8,,49.6,19.4,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,9,0.50625,160,81,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,10,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,11,0.10625,160,17,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,12,0.6625,160,106,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,13,0.60625,160,97,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,14,0.4,160,64,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,15,0.28125,160,45,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,subject,16,0.71875,160,115,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.1,summary,ALL,,8,,48.3,19.5,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,9,0.5125,160,82,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,10,0.56875,160,91,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,11,0.10625,160,17,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,12,0.68125,160,109,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,13,0.59375,160,95,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,14,0.41875,160,67,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,15,0.3125,160,50,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,16,0.74375,160,119,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,summary,ALL,,8,,49.2,19.4,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,9,0.475,160,76,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,10,0.5875,160,94,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,11,0.10625,160,17,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,12,0.68125,160,109,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,13,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,14,0.4,160,64,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,15,0.31875,160,51,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,subject,16,0.73125,160,117,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.3,summary,ALL,,8,,48.5,19.3,,,,,,,,,,,,,
